timestamp,gsr,ecg,interval
1776458737989,669,-109,0
1776458737990,669,-84,0
1776458737990,669,-56,0
1776458737990,669,-54,0
1776458737991,669,-79,0
1776458737991,669,-99,0
1776458737992,669,-106,0
1776458737993,669,-104,0
1776458737993,669,-96,0
1776458737994,669,-109,0
1776458737994,669,-166,0
1776458737995,669,-225,0
1776458737995,669,-89,0
1776458737996,669,319,0
1776458737996,669,488,0
1776458737997,669,91,0
1776458737998,669,-185,0
1776458737999,669,-44,0
1776458738000,669,-17,0
1776458738000,669,-156,0
1776458738001,669,-175,0
1776458738001,669,-143,0
1776458738002,669,-158,0
1776458738003,669,-158,0
1776458738003,669,-141,0
1776458738004,669,-136,0
1776458738005,669,-133,0
1776458738005,669,-133,0
1776458738006,669,-123,0
1776458738006,669,-106,0
1776458738007,669,-104,0
1776458738008,669,-96,0
1776458738008,669,-76,0
1776458738009,669,-66,0
1776458738009,669,-59,0
1776458738010,669,-44,0
1776458738011,669,-27,0
1776458738011,669,0,0
1776458738012,669,27,0
1776458738013,669,39,0
1776458738013,669,44,0
1776458738014,669,49,0
1776458738015,669,42,0
1776458738015,669,9,0
1776458738016,669,-37,0
1776458738016,669,-79,0
1776458738017,669,-104,0
1776458738018,669,-131,0
1776458738018,669,-153,0
1776458738019,669,-156,0
1776458738019,669,-151,0
1776458738020,669,-153,0
1776458738021,669,-153,0
1776458738021,669,-153,0
1776458738022,669,-146,0
1776458738022,669,-138,0
1776458738023,669,-138,0
1776458738024,669,-141,0
1776458738508,669,-141,0
1776458738509,670,-141,0
1776458738509,669,-141,0
1776458738510,669,-141,0
1776458738511,670,-141,0
1776458738512,669,-141,0
1776458738512,669,-141,0
1776458738513,671,-141,0
1776458738513,671,-141,0
1776458738514,669,-141,0
1776458738520,669,-136,0
1776458738520,669,-136,0
1776458738521,669,-136,0
1776458738522,669,-116,0
1776458738522,669,-104,0
1776458738523,669,-116,0
1776458738524,669,-111,0
1776458738525,669,-94,0
1776458738525,669,-96,0
1776458738526,669,-96,0
1776458738527,669,-94,0
1776458738527,669,-99,0
1776458738528,669,-104,0
1776458738529,669,-99,0
1776458738529,669,-96,0
1776458738530,669,-99,0
1776458738531,669,-96,0
1776458738532,669,-89,0
1776458738533,669,-81,0
1776458738534,669,-86,0
1776458738535,669,-96,0
1776458738536,669,-94,0
1776458738536,669,-101,0
1776458738537,669,-106,0
